,date,d_dec,d_unc,d_inc,d_m075,d_m050,d_m025,d_0,d_025,d_050,d_075,month,year
53,1994-09-27,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,9,1994
54,1994-11-15,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11,1994
55,1994-12-20,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12,1994
56,1995-02-01,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1995
57,1995-03-28,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,1995
58,1995-05-23,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5,1995
59,1995-07-06,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7,1995
60,1995-08-22,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8,1995
61,1995-09-26,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9,1995
62,1995-11-15,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,11,1995
63,1995-12-19,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,12,1995
64,1996-01-31,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,1996
65,1996-03-26,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,1996
66,1996-05-21,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5,1996
67,1996-07-03,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7,1996
68,1996-08-20,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8,1996
69,1996-09-24,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9,1996
70,1996-11-13,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,11,1996
71,1996-12-17,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,12,1996
72,1997-02-05,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1997
73,1997-03-25,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,1997
