,Unnamed: 0,date,d_dec,d_unc,d_inc,d_m075,d_m050,d_m025,d_0,d_025,d_050,d_075,month,year,perc_group,decision,newdate,-0.25,0.0,0.5,-0.5,0.25,0.75
90,101,2000-10-03,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10,2000,"0,0.25",0.0,2000-10-03,False,True,False,False,False,False
91,102,2000-11-15,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11,2000,"-0.25,0,0.25",0.0,2000-11-15,False,True,False,False,False,False
92,103,2000-12-19,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12,2000,"-0.25,0,0.25",0.0,2000-12-19,False,True,False,False,False,False
93,104,2001-01-31,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,2001,"-0.25,0",-0.5,2001-01-31,False,False,False,True,False,False
94,105,2001-03-20,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2001,"-0.25,-0.5,-0.75",-0.5,2001-03-20,False,False,False,True,False,False
95,106,2001-05-15,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5,2001,"-0.25,-0.5,-0.75",-0.5,2001-05-15,False,False,False,True,False,False
96,107,2001-06-27,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6,2001,"-0.25,-0.5,0",-0.25,2001-06-27,True,False,False,False,False,False
97,108,2001-08-21,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8,2001,"-0.25,-0.5,0",-0.25,2001-08-21,True,False,False,False,False,False
98,109,2001-10-02,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10,2001,-0.25,-0.5,2001-10-02,False,False,False,True,False,False
99,110,2001-11-06,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,2001,"-0.25,-0.5,0",-0.5,2001-11-06,False,False,False,True,False,False
100,111,2001-12-11,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,2001,"-0.25,-0.5,0",-0.25,2001-12-11,True,False,False,False,False,False
101,112,2002-01-30,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,2002,"-0.25,0",0.0,2002-01-30,False,True,False,False,False,False
102,113,2002-03-19,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3,2002,"-0.25,0,0.25",0.0,2002-03-19,False,True,False,False,False,False
103,114,2002-05-07,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5,2002,"0,0.25",0.0,2002-05-07,False,True,False,False,False,False
104,115,2002-06-26,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6,2002,"-0.25,0,0.25",0.0,2002-06-26,False,True,False,False,False,False
105,116,2002-08-13,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8,2002,"-0.25,0",0.0,2002-08-13,False,True,False,False,False,False
106,117,2002-09-24,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,9,2002,"-0.25,-0.5,0",0.0,2002-09-24,False,True,False,False,False,False
107,118,2002-11-06,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,2002,"-0.25,-0.5,0",-0.5,2002-11-06,False,False,False,True,False,False
108,119,2002-12-10,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12,2002,"-0.25,0",0.0,2002-12-10,False,True,False,False,False,False
109,120,2003-01-29,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,2003,"-0.25,0",0.0,2003-01-29,False,True,False,False,False,False
110,121,2003-03-18,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3,2003,"-0.25,-0.5,0",0.0,2003-03-18,False,True,False,False,False,False
111,122,2003-05-06,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5,2003,"-0.25,-0.5,0",0.0,2003-05-06,False,True,False,False,False,False
112,123,2003-06-25,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6,2003,"-0.25,-0.5,0",-0.25,2003-06-25,True,False,False,False,False,False
113,124,2003-08-12,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8,2003,"-0.25,0",0.0,2003-08-12,False,True,False,False,False,False
114,125,2003-09-16,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,2003,"-0.25,0",0.0,2003-09-16,False,True,False,False,False,False
115,126,2003-10-28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10,2003,"-0.25,0",0.0,2003-10-28,False,True,False,False,False,False
116,127,2003-12-09,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12,2003,"-0.25,0",0.0,2003-12-09,False,True,False,False,False,False
117,128,2004-01-28,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,2004,"-0.25,0,0.25",0.0,2004-01-28,False,True,False,False,False,False
118,129,2004-03-16,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,2004,0,0.0,2004-03-16,False,True,False,False,False,False
119,130,2004-05-04,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5,2004,"0,0.25",0.0,2004-05-04,False,True,False,False,False,False
120,131,2004-06-30,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6,2004,"0,0.25,0.50",0.25,2004-06-30,False,False,False,False,True,False
121,132,2004-08-10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,8,2004,"0,0.25,0.50",0.25,2004-08-10,False,False,False,False,True,False
122,133,2004-09-21,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9,2004,"0,0.25",0.25,2004-09-21,False,False,False,False,True,False
123,134,2004-11-10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11,2004,"0,0.25",0.25,2004-11-10,False,False,False,False,True,False
124,135,2004-12-14,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12,2004,"0,0.25",0.25,2004-12-14,False,False,False,False,True,False
125,136,2005-02-02,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2,2005,"0,0.25,0.50",0.25,2005-02-02,False,False,False,False,True,False
126,137,2005-03-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,2005,"0.25,0.50",0.25,2005-03-22,False,False,False,False,True,False
127,138,2005-05-03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5,2005,"0.25,0.50",0.25,2005-05-03,False,False,False,False,True,False
128,139,2005-06-30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2005,"0.25,0.50",0.25,2005-06-30,False,False,False,False,True,False
129,140,2005-08-09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8,2005,"0.25,0.50",0.25,2005-08-09,False,False,False,False,True,False
130,141,2005-09-20,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9,2005,"0,0.25",0.25,2005-09-20,False,False,False,False,True,False
131,142,2005-11-01,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,11,2005,"0,0.25,0.50",0.25,2005-11-01,False,False,False,False,True,False
132,143,2005-12-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12,2005,0.25,0.25,2005-12-13,False,False,False,False,True,False
133,144,2006-01-31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2006,0.25,0.25,2006-01-31,False,False,False,False,True,False
