l1_inflation,l1_unemp,d_y2k,d_nineeleven,target_change_last,target_change_last_fomc,d_meeting,scale,d_month_1,d_month_2,d_month_3,d_month_4,d_month_5,d_month_6,d_month_7,d_month_8,d_month_9,d_month_10,d_month_11
0.17995999999999998,4.4,0.0,0,-0.5,-0.5,1,1.8235294117647056,0,0,0,0,1,0,0,0,0,0,0
0.26757,4.3,0.0,0,-0.5,-0.5,1,7.5,0,0,0,0,0,1,0,0,0,0,0
0.18041,4.5,0.0,0,-0.25,-0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0
-0.03377,4.6,0.0,0,0.0,0.0,1,2.8181818181818183,0,0,0,0,0,0,0,1,0,0,0
-0.0075099999999999984,4.9,0.0,1,-0.25,-0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
-0.3328,5.0,0.0,0,-0.5,-0.5,1,1.0333333333333334,0,0,0,0,0,0,0,0,0,1,0
0.36278,5.3,0.0,0,-0.5,-0.5,1,1.2,0,0,0,0,0,0,0,0,0,0,1
-0.06129,5.5,0.0,0,-0.5,-0.5,1,1.4761904761904765,0,0,0,0,0,0,0,0,0,0,0
-0.10513,5.7,0.0,0,-0.25,-0.25,1,15.5,1,0,0,0,0,0,0,0,0,0,0
0.07517,5.7,0.0,0,0.0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0
0.16525,5.7,0.0,0,0.0,0.0,1,2.3846153846153846,0,0,1,0,0,0,0,0,0,0,0
0.27746,5.7,0.0,0,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0.43249,5.9,0.0,0,0.0,0.0,1,1.24,0,0,0,0,1,0,0,0,0,0,0
0.07074,5.8,0.0,0,0.0,0.0,1,6.0,0,0,0,0,0,1,0,0,0,0,0
0.12153,5.8,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0
0.20065999999999998,5.8,0.0,0,0.0,0.0,1,1.631578947368421,0,0,0,0,0,0,0,1,0,0,0
0.18666,5.7,0.0,0,0.0,0.0,1,4.285714285714286,0,0,0,0,0,0,0,0,1,0,0
0.17644,5.7,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.18598,5.7,0.0,0,0.0,0.0,1,1.2,0,0,0,0,0,0,0,0,0,0,1
0.09958,5.9,0.0,0,-0.5,-0.5,1,1.4090909090909092,0,0,0,0,0,0,0,0,0,0,0
0.0872,6.0,0.0,0,0.0,0.0,1,10.333333333333334,1,0,0,0,0,0,0,0,0,0,0
0.27241,5.8,0.0,0,0.0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0
0.39526999999999995,5.9,0.0,0,0.0,0.0,1,2.2142857142857144,0,0,1,0,0,0,0,0,0,0,0
0.22916,5.9,0.0,0,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0
-0.19945,6.0,0.0,0,0.0,0.0,1,1.1923076923076923,0,0,0,0,1,0,0,0,0,0,0
-0.13404000000000002,6.1,0.0,0,0.0,0.0,1,5.0,0,0,0,0,0,1,0,0,0,0,0
0.09396,6.3,0.0,0,-0.25,-0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0
0.28404,6.2,0.0,0,0.0,0.0,1,1.55,0,0,0,0,0,0,0,1,0,0,0
0.32335,6.1,0.0,0,0.0,0.0,1,1.9375,0,0,0,0,0,0,0,0,1,0,0
0.29565,6.1,0.0,0,0.0,0.0,1,7.75,0,0,0,0,0,0,0,0,0,1,0
-0.00725,6.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
0.12445,5.8,0.0,0,0.0,0.0,1,1.3478260869565215,0,0,0,0,0,0,0,0,0,0,0
0.2341,5.7,0.0,0,0.0,0.0,1,7.75,1,0,0,0,0,0,0,0,0,0,0
0.41895,5.7,0.0,0,0.0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0
0.23498000000000002,5.6,0.0,0,0.0,0.0,1,1.9375,0,0,1,0,0,0,0,0,0,0,0
0.16505999999999998,5.8,0.0,0,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0.1815,5.6,0.0,0,0.0,0.0,1,1.1071428571428572,0,0,0,0,1,0,0,0,0,0,0
0.32659,5.6,0.0,0,0.0,0.0,1,30.0,0,0,0,0,0,1,0,0,0,0,0
0.28869,5.6,0.0,0,0.25,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0
0.09951,5.5,0.0,0,0.0,0.0,1,1.4090909090909092,0,0,0,0,0,0,0,1,0,0,0
0.05562,5.4,0.0,0,0.25,0.25,1,3.0,0,0,0,0,0,0,0,0,1,0,0
0.19871,5.4,0.0,0,0.25,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.4285,5.5,0.0,0,0.0,0.0,1,1.4285714285714286,0,0,0,0,0,0,0,0,0,0,1
0.38318,5.4,0.0,0,0.25,0.25,1,1.7222222222222223,0,0,0,0,0,0,0,0,0,0,0
0.05035,5.4,0.0,0,0.25,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
0.12874000000000002,5.3,0.0,0,0.0,0.0,1,1.037037037037037,0,1,0,0,0,0,0,0,0,0,0
0.27466999999999997,5.4,0.0,0,0.25,0.25,1,3.1,0,0,1,0,0,0,0,0,0,0,0
0.28791,5.2,0.0,0,0.25,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0.265,5.2,0.0,0,0.0,0.0,1,1.0689655172413792,0,0,0,0,1,0,0,0,0,0,0
0.04869,5.1,0.0,0,0.25,0.25,1,30.0,0,0,0,0,0,1,0,0,0,0,0
0.056770000000000015,5.0,0.0,0,0.25,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0
