DEAJKoldbal_m050,DEAJKoldbal_m025,DEAJKoldbal_0,DEAJKoldbal_025,DEAJKoldbal_050,PCEHbal_m050,PCEHbal_m025,PCEHbal_0,PCEHbal_025,PCEHbal_050,PCEH1bal_m050,PCEH1bal_m025,PCEH1bal_0,PCEH1bal_025,PCEH1bal_050,UNRATEbal_m050,UNRATEbal_m025,UNRATEbal_0,UNRATEbal_025,UNRATEbal_050,UNRATE1bal_m050,UNRATE1bal_m025,UNRATE1bal_0,UNRATE1bal_025,UNRATE1bal_050,rbal_m050,rbal_m025,rbal_0,rbal_025,rbal_050,LastChangebal_m050,LastChangebal_m025,LastChangebal_0,LastChangebal_025,LastChangebal_050
,,.020157529,,,,,-.08207009,,,,,.14145474,,,,,.10078774,,,,,.10078774,,,,,5.5433259,,,,,0,,
,,-.043605875,,,,,.18084124,,,,,-.061270971,,,,,0,,,,,.075244986,,,,,4.1384745,,,,,0,,
,-.20288031,,,,,.057581741,,,,,.1016195,,,,,0,,,,,0,,,,,2.3255188,,,,,0,,,
,-.0043140789,,,,,-.026939478,,,,,.058749717,,,,,.0431398,,,,,0,,,,,2.2648396,,,,,-.1078495,,,
,-.054483,,,,,.073192351,,,,,-.021417435,,,,,-.034297023,,,,,.034297023,,,,,1.7148511,,,,,-.085742563,,,
,,.13263856,,,,,.0020118724,,,,,.17220084,,,,,-.080691166,,,,,-.080691166,,,,,3.8328304,,,,,-.20172791,,
,,.033424824,,,,,.088498816,,,,,.0020834543,,,,,0,,,,,-.083562136,,,,,3.9692016,,,,,0,,
,,-.039576605,,,,,.13696532,,,,,.079312086,,,,,-.074887864,,,,,0,,,,,3.5571735,,,,,0,,
,,-.19980517,,,,,-.019054266,,,,,.14015953,,,,,.076634347,,,,,-.076634347,,,,,3.6401315,,,,,0,,
,,.015941866,,,,,.054489966,,,,,-.019818844,,,,,-.15941881,,,,,.079709403,,,,,3.7861967,,,,,0,,
,,.050381109,,,,,.44520169,,,,,.065997384,,,,,.096542776,,,,,-.19308555,,,,,4.5857816,,,,,0,,
,,,-.039166033,,,,,.010635192,,,,,.12018877,,,,,-.026063146,,,,,.026063146,,,,,1.2379994,,,,,0,
,,.015640818,,,,,.016434219,,,,,.031911582,,,,,.078204162,,,,,-.078204162,,,,,3.9102082,,,,,.1955104,,
,,,.045712288,,,,,.077815332,,,,,.0061904141,,,,,0,,,,,.029457813,,,,,1.4728906,,,,,0,
,,.022412561,,,,,.1315825,,,,,.19734761,,,,,-.074708015,,,,,0,,,,,3.9221706,,,,,.18677004,,
,,.036078338,,,,,.26233923,,,,,.1324406,,,,,0,,,,,-.075195216,,,,,3.9477487,,,,,0,,
,,,.096012622,,,,,.16074438,,,,,.3520579,,,,,-.10091159,,,,,0,,,,,5.2978587,,,,,0,
,,-.01029159,,,,,.074223861,,,,,.13234389,,,,,0,,,,,-.083082423,,,,,4.5695333,,,,,.20770605,,
,,.24093899,,,,,.20504163,,,,,.074223861,,,,,-.083082423,,,,,0,,,,,4.5695333,,,,,0,,
,,,.051157162,,,,,.050809469,,,,,.04397798,,,,,0,,,,,-.017819781,,,,,.98008794,,,,,0,
,,,.046354271,,,,,.09557607,,,,,.08660993,,,,,.030375637,,,,,0,,,,,1.7465991,,,,,.075939089,
,,.015293716,,,,,.32486928,,,,,.24060643,,,,,-.076468654,,,,,.076468654,,,,,4.588119,,,,,.19117163,,
,,,,.032213006,,,,,-.0084106755,,,,,.037910625,,,,,-.01784702,,,,,-.0089235101,,,,,.53541064,,,,,0
,,-.22908819,,,,,.057745647,,,,,-.070371553,,,,,.14932482,,,,,-.14932482,,,,,4.8530569,,,,,.37331206,,
,,.034214705,,,,,.28059438,,,,,.066156186,,,,,0,,,,,.17107369,,,,,5.559895,,,,,0,,
,,-.016598275,,,,,.17920876,,,,,.24564445,,,,,0,,,,,0,,,,,4.8673725,,,,,0,,
,,.023077589,,,,,-.014415555,,,,,.22091578,,,,,.092310004,,,,,0,,,,,6.0001502,,,,,0,,
,,-.033910159,,,,,.37181515,,,,,-.013417431,,,,,-.17183703,,,,,.085918516,,,,,5.5847039,,,,,0,,
,,-.025374409,,,,,.10415035,,,,,.33367386,,,,,0,,,,,-.15420978,,,,,5.0118175,,,,,0,,
,,-.15625504,,,,,.26859018,,,,,.27135274,,,,,0,,,,,0,,,,,13.057762,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-.044103868,,,,,.4369168,,,,,.12502493,,,,,.2940253,,,,,0,,,,,5.3904638,,,,,-.9800843,,
-.041898247,,,,,.0091861263,,,,,.030846197,,,,,0,,,,,.0207581,,,,,.38056514,,,,,0,,,,
-.023671206,,,,,.00093465316,,,,,.034917507,,,,,.026301296,,,,,0,,,,,1.3150648,,,,,-.13150649,,,,
-.035744127,,,,,.015765091,,,,,.00030346023,,,,,.0085394215,,,,,.0085394215,,,,,.38427398,,,,,-.042697109,,,,
,-.10065442,,,,,.10437501,,,,,.070955157,,,,,-.038434032,,,,,.038434032,,,,,1.5373613,,,,,-.19217016,,,
,,0,,,,,.15812266,,,,,.22782473,,,,,.1677839,,,,,-.083891951,,,,,3.1459482,,,,,-.20972988,,
,-.10287075,,,,,-.010222713,,,,,.068206035,,,,,.036186703,,,,,.072373405,,,,,1.3570013,,,,,0,,,
-.00685594,,,,,-.0024213837,,,,,-.019367991,,,,,.20567839,,,,,.06855946,,,,,2.3995812,,,,,-.17139865,,,,
-.029369215,,,,,-.020349571,,,,,-.00022163185,,,,,.0062753214,,,,,.018825963,,,,,.18825963,,,,,-.031376608,,,,
-.028617859,,,,,.025207007,,,,,-.022437911,,,,,.020757947,,,,,.0069193156,,,,,.17298289,,,,,-.034596577,,,,
,-.67429256,,,,,-.18365036,,,,,.99705821,,,,,.54738438,,,,,.82107657,,,,,5.4738436,,,,,-1.3684609,,,
,,-.044265438,,,,,-.077839442,,,,,-.050375696,,,,,.15014873,,,,,.15014873,,,,,1.3138014,,,,,-.18768591,,
,,-.0038449373,,,,,.054371078,,,,,-.079731099,,,,,0,,,,,.15379764,,,,,1.3457295,,,,,0,,
,,.029210018,,,,,.13631636,,,,,.057667006,,,,,0,,,,,0,,,,,1.4273064,,,,,0,,
,,.0037393717,,,,,.20815675,,,,,.12499651,,,,,0,,,,,0,,,,,1.3087814,,,,,0,,
,,-.015236286,,,,,.35990709,,,,,.23198219,,,,,.16669525,,,,,0,,,,,1.4585835,,,,,0,,
,,-.095698282,,,,,.06129244,,,,,.32862183,,,,,-.076102555,,,,,.15220511,,,,,1.3317947,,,,,0,,
,,-.0037320768,,,,,.095736787,,,,,.060115807,,,,,0,,,,,-.074641608,,,,,1.3062282,,,,,0,,
,,-.058367103,,,,,.16182764,,,,,.099614695,,,,,0,,,,,0,,,,,1.3591381,,,,,0,,
