ffed,pceh,ip,unrate,date,TargetChange,DEAJKold,r,LastChange,LastCFOMC,Scale,FOMCMeetings,DY2K,D911,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,PCEH,UNRATE,PCEH1,UNRATE1,Crisis,DEAJKoldXCrisis
5.8499999,76.403,71.300003,5.6999998,31jul1995,-.25,-.28389364,6,0,0,1.24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,.0904639287637679,0,.1470144522693317,-.2000000000000002,0,0
5.7399998,76.567001,72.199997,5.6999998,31aug1995,0,-.066826157,5.75,-.25,-.25,3.444444444444445,1,0,0,0,0,0,0,0,0,1,0,0,0,0,.1244180343981043,.1000000000000005,.0904639287637679,0,0,0
5.8000002,76.620003,72.5,5.5999999,30sep1995,0,-.27816403,5.75,0,0,7.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.2144212104785765,0,.1244180343981043,.1000000000000005,0,0
5.7600002,76.816002,72.400002,5.5,31oct1995,0,0,5.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.0691964750465104,-.1000000000000005,.2144212104785765,0,0,0
5.8000002,76.818001,72.599998,5.5999999,30nov1995,0,-.11374903,5.75,0,0,2.142857142857143,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.2554812516082166,-.0999999999999996,.0691964750465104,-.1000000000000005,0,0
5.5999999,76.967003,72.800003,5.5999999,31dec1995,-.25,-.063139729,5.75,0,0,2.583333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.0026035903512138,.0999999999999996,.2554812516082166,-.0999999999999996,0,0
5.5599999,77.141998,72.400002,5.5999999,31jan1996,-.25,-.5489583,5.5,-.25,-.25,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.1937770870033546,0,.0026035903512138,.0999999999999996,0,0
5.2199998,77.261002,73.5,5.5,29feb1996,0,.019999981,5.25,-.25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.2271120768035644,0,.1937770870033546,0,0,0
5.3099999,77.490997,73.400002,5.5,31mar1996,0,.21357054,5.25,0,0,6.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.154142113251396,-.0999999999999996,.2271120768035644,0,0,0
5.2199998,77.720001,74,5.5999999,30apr1996,0,.03000021,5.25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.2972500120864652,0,.154142113251396,-.0999999999999996,0,0
