year,event_type,multi_day,start_month,start_day,end_month,end_day,Beige Book,Tealbook A,Tealbook B,Agenda,Statement,2013 Memos,Minutes,Transcript,Presentation materials,Press Conference,SEP: Individual Projections,Greenbook,Bluebook,Record of Policy Actions,Minutes of Actions,multi-day,Redbook,Staff statements,,"Historical Minutes, 10:30 a.m.","Historical Minutes, 2:45 p.m.",Intermeeting Executive Committee Minutes,Historical Minutes,Supplement,Memoranda of Discussion,Supplement 2,Accessible version,2003 Memos,Accessible material,SEP: Participant Key,Greenbook and Bluebook accessible materials,2009 Memos,2010 Memos,Tealbook accessible materials,2011 Memos,2012 Memos,2008 Memos
1983,Conference Call,,January,21,January,21,,,,,,,,/monetarypolicy/files/FOMC19830121confcall.pdf,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
1983,Conference Call,,January,28,January,28,,,,,,,,,,,,,,"see December 21, 1982 Record",,0,,,,,,,,,,,,,,,,,,,,,
1983,Meeting,1,February,8,February,9,,,,/monetarypolicy/files/FOMC19830209Agenda.pdf,,,,/monetarypolicy/files/FOMC19830209meeting.pdf,/monetarypolicy/files/FOMC19830209material.pdf,,,"['/monetarypolicy/files/fomc19830209gbpt119830202.pdf', '/monetarypolicy/files/fomc19830209gbpt219830202.pdf', '/monetarypolicy/files/fomc19830209gbsup19830204.pdf']",/monetarypolicy/files/fomc19830209bluebook19830204.pdf,/monetarypolicy/files/fomcropa19830209.pdf,/monetarypolicy/files/fomcmoa19830209.pdf,,/monetarypolicy/files/fomc19830209redbook19830202.pdf,,,,,,,,,,,,,,,,,,,,
1983,Meeting,1,March,28,March,29,,,,/monetarypolicy/files/FOMC19830329Agenda.pdf,,,,/monetarypolicy/files/FOMC19830329meeting.pdf,/monetarypolicy/files/FOMC19830329material.pdf,,,"['/monetarypolicy/files/fomc19830329gbpt119830323.pdf', '/monetarypolicy/files/fomc19830329gbpt219830323.pdf', '/monetarypolicy/files/fomc19830329gbsup19830325.pdf']",/monetarypolicy/files/fomc19830329bluebook19830325.pdf,/monetarypolicy/files/fomcropa19830329.pdf,/monetarypolicy/files/fomcmoa19830329.pdf,,/monetarypolicy/files/fomc19830329redbook19830323.pdf,,,,,,,,,,,,,,,,,,,,
1983,Conference Call,,April,29,April,29,,,,,,,,/monetarypolicy/files/FOMC19830429confcall.pdf,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
1983,Meeting,,May,24,May,24,,,,/monetarypolicy/files/FOMC19830524Agenda.pdf,,,,/monetarypolicy/files/FOMC19830524meeting.pdf,/monetarypolicy/files/FOMC19830524material.pdf,,,"['/monetarypolicy/files/fomc19830524gbpt119830518.pdf', '/monetarypolicy/files/fomc19830524gbpt219830518.pdf', '/monetarypolicy/files/fomc19830524gbsup19830520.pdf']",/monetarypolicy/files/fomc19830524bluebook19830520.pdf,/monetarypolicy/files/fomcropa19830524.pdf,/monetarypolicy/files/fomcmoa19830524.pdf,0,/monetarypolicy/files/fomc19830524redbook19830518.pdf,,,,,,,,,,,,,,,,,,,,
1983,Conference Call,,June,23,June,23,,,,,,,,/monetarypolicy/files/FOMC19830623confcall.pdf,/monetarypolicy/files/FOMC19830623material.pdf,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
1991,Conference Call,,June,10,June,10,,,,,,,,/monetarypolicy/files/FOMC19910610confcall.pdf,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
1991,Conference Call,,June,24,June,24,,,,,,,,/monetarypolicy/files/FOMC19910624confcall.pdf,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
1991,Meeting,1,July,2,July,3,"['/monetarypolicy/files/fomc19910703beige19910619.pdf', 'http://www.minneapolisfed.org/bb/']",,,/monetarypolicy/files/FOMC19910703Agenda.pdf,,,,/monetarypolicy/files/FOMC19910703meeting.pdf,/monetarypolicy/files/FOMC19910703material.pdf,,,"['/monetarypolicy/files/fomc19910703gbpt119910626.pdf', '/monetarypolicy/files/fomc19910703gbpt219910626.pdf', '/monetarypolicy/files/fomc19910703gbsup19910628.pdf']",/monetarypolicy/files/fomc19910703bluebook19910628.pdf,/monetarypolicy/files/fomcropa19910703.pdf,/monetarypolicy/files/fomcmoa19910703.pdf,,,,,,,,,,,,,,,,,,,,,,
1991,Conference Call,,August,5,August,5,,,,,,,,/monetarypolicy/files/FOMC19910805confcall.pdf,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
