,start_date,end_date,event_type,statement_policy_change,statement_policy_action,FFF_0_rate,FFF_1_rate,FFF_2_rate,FFF_3_rate,FFF_4_rate,FFF_5_rate,FFF_6_rate,nyt_article_counts,DFF_Before_meeting,DFEDTR_before,DFEDTR_end,bluebook_treatment_alt_a,bluebook_treatment_size_alt_a,bluebook_justify_alt_a,bluebook_treatment_alt_b,bluebook_treatment_size_alt_b,bluebook_justify_alt_b,bluebook_treatment_alt_c,bluebook_treatment_size_alt_c,bluebook_justify_alt_c,bluebook_treatment_alt_d,bluebook_treatment_size_alt_d,bluebook_justify_alt_d,bluebook_treatment_alt_e,bluebook_treatment_size_alt_e,bluebook_justify_alt_e,bluebook_comments
159,1958-03-04,1958-03-04,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
160,1958-03-25,1958-03-25,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
161,1958-04-15,1958-04-15,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
162,1958-05-06,1958-05-06,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
163,1958-05-27,1958-05-27,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
164,1958-06-17,1958-06-17,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
165,1958-07-08,1958-07-08,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
166,1958-07-15,1958-07-15,Conference Call,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
167,1958-07-18,1958-07-18,Conference Call,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
168,1958-07-21,1958-07-21,Conference Call,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
169,1958-07-22,1958-07-22,Conference Call,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
170,1958-07-23,1958-07-23,Conference Call,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
171,1958-07-24,1958-07-24,Conference Call,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
172,1958-07-25,1958-07-25,Conference Call,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
173,1958-07-29,1958-07-29,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
174,1958-07-30,1958-07-30,Conference Call,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
175,1958-07-31,1958-07-31,Conference Call,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
176,1958-08-01,1958-08-01,Conference Call,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
177,1958-08-04,1958-08-04,Conference Call,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
178,1958-08-19,1958-08-19,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
179,1958-09-09,1958-09-09,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
180,1958-09-30,1958-09-30,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
181,1958-10-21,1958-10-21,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
182,1958-11-10,1958-11-10,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
183,1958-12-02,1958-12-02,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
184,1958-12-16,1958-12-16,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
185,1959-01-06,1959-01-06,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
186,1959-01-27,1959-01-27,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
187,1959-02-10,1959-02-10,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
188,1959-03-03,1959-03-03,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
189,1959-03-24,1959-03-24,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
190,1959-04-14,1959-04-14,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
191,1959-05-05,1959-05-05,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
192,1959-05-26,1959-05-26,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
193,1959-06-16,1959-06-16,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
194,1959-07-07,1959-07-07,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
195,1959-07-28,1959-07-28,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
196,1959-08-18,1959-08-18,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
197,1959-09-01,1959-09-01,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
198,1959-09-22,1959-09-22,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
199,1959-10-13,1959-10-13,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
200,1959-11-04,1959-11-04,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
201,1959-11-24,1959-11-24,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
202,1959-12-15,1959-12-15,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
203,1960-01-12,1960-01-12,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
204,1960-01-26,1960-01-26,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
205,1960-02-09,1960-02-09,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
206,1960-03-01,1960-03-01,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
207,1960-03-22,1960-03-22,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
208,1960-04-12,1960-04-12,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
209,1960-05-03,1960-05-03,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
210,1960-05-24,1960-05-24,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
211,1960-06-14,1960-06-14,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
212,1960-07-06,1960-07-06,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
213,1960-07-26,1960-07-26,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
214,1960-08-16,1960-08-16,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
215,1960-09-13,1960-09-13,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
216,1960-10-04,1960-10-04,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
217,1960-10-25,1960-10-25,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
218,1960-11-22,1960-11-22,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
219,1960-12-13,1960-12-13,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
220,1961-01-10,1961-01-10,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
221,1961-01-24,1961-01-24,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
222,1961-02-07,1961-02-07,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
223,1961-03-07,1961-03-07,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
224,1961-03-28,1961-03-28,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
225,1961-04-18,1961-04-18,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
226,1961-05-09,1961-05-09,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
227,1961-06-06,1961-06-06,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
228,1961-06-20,1961-06-20,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
229,1961-07-11,1961-07-11,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
230,1961-08-01,1961-08-01,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
231,1961-08-22,1961-08-22,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
232,1961-09-12,1961-09-12,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
233,1961-10-03,1961-10-03,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
234,1961-10-24,1961-10-24,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
235,1961-11-14,1961-11-14,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
236,1961-12-05,1961-12-05,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
