,start_date,end_date,event_type,statement_policy_change,statement_policy_action,d_statement,FFF_0_rate,FFF_1_rate,FFF_2_rate,FFF_3_rate,FFF_4_rate,FFF_5_rate,FFF_6_rate,wsj_article_count,nyt_article_count,ft_article_count,DFF_Before_meeting,DFEDTR_before,DFEDTR_end,bluebook_treatment_alt_a,bluebook_treatment_size_alt_a,bluebook_justify_alt_a,bluebook_treatment_alt_b,bluebook_treatment_size_alt_b,bluebook_justify_alt_b,bluebook_treatment_alt_c,bluebook_treatment_size_alt_c,bluebook_justify_alt_c,bluebook_treatment_alt_d,bluebook_treatment_size_alt_d,bluebook_justify_alt_d,bluebook_treatment_alt_e,bluebook_treatment_size_alt_e,bluebook_justify_alt_e,bluebook_comments,year
106,1955-07-12,1955-07-12,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1955
107,1955-08-02,1955-08-02,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1955
108,1955-08-23,1955-08-23,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1955
109,1955-09-14,1955-09-14,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1955
110,1955-09-26,1955-09-26,Conference Call,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1955
111,1955-10-04,1955-10-04,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1955
112,1955-10-25,1955-10-25,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1955
113,1955-11-16,1955-11-16,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1955
114,1955-11-30,1955-11-30,Conference Call,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1955
115,1955-12-08,1955-12-08,Conference Call,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1955
116,1955-12-13,1955-12-13,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1955
117,1956-01-10,1956-01-10,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1956
118,1956-01-24,1956-01-24,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1956
119,1956-02-15,1956-02-15,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1956
120,1956-03-06,1956-03-06,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1956
121,1956-03-27,1956-03-27,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1956
122,1956-04-17,1956-04-17,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1956
123,1956-04-18,1956-04-18,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1956
124,1956-05-09,1956-05-09,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1956
125,1956-05-23,1956-05-23,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1956
126,1956-06-05,1956-06-05,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1956
127,1956-06-26,1956-06-26,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1956
128,1956-07-17,1956-07-17,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1956
129,1956-08-07,1956-08-07,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1956
130,1956-08-21,1956-08-21,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1956
131,1956-09-11,1956-09-11,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1956
132,1956-09-25,1956-09-25,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1956
133,1956-10-16,1956-10-16,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1956
134,1956-11-13,1956-11-13,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1956
135,1956-11-27,1956-11-27,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1956
136,1956-12-10,1956-12-10,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1956
