id,year,meeting_info,document_name,link
147,1943,January 25-26 Meeting - 1943,Historical Minutes (787 KB PDF),/monetarypolicy/files/FOMChistmin19430126.pdf
148,1943,January 25-26 Meeting - 1943,"Intermeeting Executive Committee Minutes:January 25-26, 1943 (196 KB PDF)",/monetarypolicy/files/FOMChminec119430126.pdf
149,1943,March 2 Meeting - 1943,Record of Policy Actions (142 KB PDF),/monetarypolicy/files/fomcropa19430302.pdf
150,1943,March 2 Meeting - 1943,Historical Minutes (674 KB PDF),/monetarypolicy/files/FOMChistmin19430302.pdf
151,1943,March 2 Meeting - 1943,"Intermeeting Executive Committee Minutes:March 2, 1943, 9:40 a.m. (119 KB PDF)",/monetarypolicy/files/FOMChminec119430302.pdf
152,1943,March 2 Meeting - 1943,"Intermeeting Executive Committee Minutes:March 2, 1943, 11:45 a.m. (141 KB PDF)",/monetarypolicy/files/FOMChminec219430302.pdf
153,1943,May 15 Meeting - 1943,Record of Policy Actions (268 KB PDF),/monetarypolicy/files/fomcropa19430515.pdf
154,1943,May 15 Meeting - 1943,Historical Minutes (342 KB PDF),/monetarypolicy/files/FOMChistmin19430515.pdf
155,1943,May 15 Meeting - 1943,"Intermeeting Executive Committee Minutes:May 15, 1943 (227 KB PDF)",/monetarypolicy/files/FOMChminec119430515.pdf
156,1943,June 28 Meeting - 1943,Record of Policy Actions (280 KB PDF),/monetarypolicy/files/fomcropa19430628.pdf
157,1943,June 28 Meeting - 1943,Historical Minutes (703 KB PDF),/monetarypolicy/files/FOMChistmin19430628.pdf
158,1943,June 28 Meeting - 1943,"Intermeeting Executive Committee Minutes:June 28, 1943 (211 KB PDF)",/monetarypolicy/files/FOMChminec119430628.pdf
159,1943,October 18 Meeting - 1943,Record of Policy Actions (197 KB PDF),/monetarypolicy/files/fomcropa19431018.pdf
160,1943,October 18 Meeting - 1943,Historical Minutes (854 KB PDF),/monetarypolicy/files/FOMChistmin19431018.pdf
161,1943,October 18 Meeting - 1943,"Intermeeting Executive Committee Minutes:September 7, 1943 (235 KB PDF)",/monetarypolicy/files/FOMChminec119430907.pdf
162,1943,October 18 Meeting - 1943,"Intermeeting Executive Committee Minutes:October 18, 1943 (255 KB PDF)",/monetarypolicy/files/FOMChminec119431018.pdf
163,1944,February 29 Meeting - 1944,Record of Policy Actions (259 KB PDF),/monetarypolicy/files/fomcropa19440229.pdf
164,1944,February 29 Meeting - 1944,Historical Minutes (548 KB PDF),/monetarypolicy/files/FOMChistmin19440229.pdf
165,1944,February 29 Meeting - 1944,"Intermeeting Executive Committee Minutes:February 29, 1944 (361 KB PDF)",/monetarypolicy/files/FOMChminec119440229.pdf
166,1944,March 1 Meeting - 1944,Record of Policy Actions (264 KB PDF),/monetarypolicy/files/fomcropa19440301.pdf
167,1944,March 1 Meeting - 1944,Historical Minutes (730 KB PDF),/monetarypolicy/files/FOMChistmin19440301.pdf
168,1944,March 1 Meeting - 1944,"Intermeeting Executive Committee Minutes:March 1, 1944 (171 KB PDF)",/monetarypolicy/files/FOMChminec119440301.pdf
169,1944,May 4 Meeting - 1944,Record of Policy Actions (255 KB PDF),/monetarypolicy/files/fomcropa19440504.pdf
170,1944,May 4 Meeting - 1944,Historical Minutes (757 KB PDF),/monetarypolicy/files/FOMChistmin19440504.pdf
171,1944,May 4 Meeting - 1944,"Intermeeting Executive Committee Minutes:March 28-29, 1944 (823 KB PDF)",/monetarypolicy/files/FOMChminec119440329.pdf
172,1944,May 4 Meeting - 1944,"Intermeeting Executive Committee Minutes:May 4, 1944 (442 KB PDF)",/monetarypolicy/files/FOMChminec119440504.pdf
173,1944,September 21-22 Meeting - 1944,Record of Policy Actions (126 KB PDF),/monetarypolicy/files/fomcropa19440921.pdf
174,1944,September 21-22 Meeting - 1944,Historical Minutes (997 KB PDF),/monetarypolicy/files/FOMChistmin19440922.pdf
175,1944,September 21-22 Meeting - 1944,"Intermeeting Executive Committee Minutes:July 28, 1944 (965 KB PDF)",/monetarypolicy/files/FOMChminec119440728.pdf
176,1944,September 21-22 Meeting - 1944,"Intermeeting Executive Committee Minutes:September 21, 1944 (926 KB PDF)",/monetarypolicy/files/FOMChminec119440921.pdf
177,1944,December 11 Meeting - 1944,Record of Policy Actions (125 KB PDF),/monetarypolicy/files/fomcropa19441211.pdf
178,1944,December 11 Meeting - 1944,Historical Minutes (694 KB PDF),/monetarypolicy/files/FOMChistmin19441211.pdf
179,1944,December 11 Meeting - 1944,"Intermeeting Executive Committee Minutes:December 11, 1944 (356 KB PDF)",/monetarypolicy/files/FOMChminec119441211.pdf
180,1945,February 28 Meeting - 1945,Historical Minutes (201 KB PDF),/monetarypolicy/files/FOMChistmin19450228.pdf
181,1945,February 28 Meeting - 1945,"Intermeeting Executive Committee Minutes:February 28, 1945 (114 KB PDF)",/monetarypolicy/files/FOMChminec119450228.pdf
182,1945,March 1 Meeting - 1945,Record of Policy Actions (127 KB PDF),/monetarypolicy/files/fomcropa19450301.pdf
183,1945,March 1 Meeting - 1945,Historical Minutes (948 KB PDF),/monetarypolicy/files/FOMChistmin19450301.pdf
184,1945,March 1 Meeting - 1945,"Intermeeting Executive Committee Minutes:March 1, 1945 (424 KB PDF)",/monetarypolicy/files/FOMChminec119450301.pdf
185,1945,June 20 Meeting - 1945,Record of Policy Actions (244 KB PDF),/monetarypolicy/files/fomcropa19450620.pdf
186,1945,June 20 Meeting - 1945,Historical Minutes (697 KB PDF),/monetarypolicy/files/FOMChistmin19450620.pdf
187,1945,June 20 Meeting - 1945,"Intermeeting Executive Committee Minutes:June 20, 1945 (489 KB PDF)",/monetarypolicy/files/FOMChminec119450620.pdf
188,1945,October 17 Meeting - 1945,Record of Policy Actions (132 KB PDF),/monetarypolicy/files/fomcropa19451017.pdf
189,1945,October 17 Meeting - 1945,Historical Minutes (502 KB PDF),/monetarypolicy/files/FOMChistmin19451017.pdf
190,1945,October 17 Meeting - 1945,"Intermeeting Executive Committee Minutes:October 17, 1945 (311 KB PDF)",/monetarypolicy/files/FOMChminec119451017.pdf
191,1946,February 28 Meeting - 1946,Historical Minutes (223 KB PDF),/monetarypolicy/files/FOMChistmin19460228.pdf
192,1946,February 28 Meeting - 1946,"Intermeeting Executive Committee Minutes:December 5, 1945 (330 KB PDF)",/monetarypolicy/files/FOMChminec119451205.pdf
193,1946,February 28 Meeting - 1946,"Intermeeting Executive Committee Minutes:January 23, 1946 (605 KB PDF)",/monetarypolicy/files/FOMChminec119460123.pdf
194,1946,February 28 Meeting - 1946,"Intermeeting Executive Committee Minutes:February 28, 1946 (334 KB PDF)",/monetarypolicy/files/FOMChminec119460228.pdf
195,1946,March 1 Meeting - 1946,Record of Policy Actions (243 KB PDF),/monetarypolicy/files/fomcropa19460301.pdf
196,1946,March 1 Meeting - 1946,Historical Minutes (431 KB PDF),/monetarypolicy/files/FOMChistmin19460301.pdf
197,1946,March 1 Meeting - 1946,"Intermeeting Executive Committee Minutes:March 1, 1946 (93 KB PDF)",/monetarypolicy/files/FOMChminec119460301.pdf
198,1946,June 10 Meeting - 1946,Record of Policy Actions (242 KB PDF),/monetarypolicy/files/fomcropa19460610.pdf
199,1946,June 10 Meeting - 1946,Historical Minutes (806 KB PDF),/monetarypolicy/files/FOMChistmin19460610.pdf
200,1946,June 10 Meeting - 1946,"Intermeeting Executive Committee Minutes:June 10, 1946 (674 KB PDF)",/monetarypolicy/files/FOMChminec119460610.pdf
201,1946,October 3 Meeting - 1946,Record of Policy Actions (116 KB PDF),/monetarypolicy/files/fomcropa19461003.pdf
202,1946,October 3 Meeting - 1946,Historical Minutes (1.18 MB PDF),/monetarypolicy/files/FOMChistmin19461003.pdf
203,1946,October 3 Meeting - 1946,"Intermeeting Executive Committee Minutes:October 3, 1946 (736 KB PDF)",/monetarypolicy/files/FOMChminec119461003.pdf
204,1947,February 27-28 Meeting - 1947,Historical Minutes (727 KB PDF),/monetarypolicy/files/FOMChistmin19470228.pdf
205,1947,February 27-28 Meeting - 1947,"Intermeeting Executive Committee Minutes:December 11, 1946 (580 KB PDF)",/monetarypolicy/files/FOMChminec119461211.pdf
206,1947,February 27-28 Meeting - 1947,"Intermeeting Executive Committee Minutes:January 10, 1947 (645 KB PDF)",/monetarypolicy/files/FOMChminec119470110.pdf
207,1947,February 27-28 Meeting - 1947,"Intermeeting Executive Committee Minutes:February 17, 1947 (683 KB PDF)",/monetarypolicy/files/FOMChminec119470217.pdf
208,1947,February 27-28 Meeting - 1947,"Intermeeting Executive Committee Minutes:February 27, 1947 (170 KB PDF)",/monetarypolicy/files/FOMChminec119470227.pdf
209,1947,March 1 Meeting - 1947,Record of Policy Actions (130 KB PDF),/monetarypolicy/files/fomcropa19470301.pdf
210,1947,March 1 Meeting - 1947,Historical Minutes (506 KB PDF),/monetarypolicy/files/FOMChistmin19470301.pdf
