DATE,INDPRO_PC1
1985-11-01,0.51312
1985-12-01,1.45155
1986-01-01,2.08515
1986-02-01,1.06884
1986-03-01,0.21055
1986-04-01,0.51645
1986-05-01,0.59185
1986-06-01,0.19064
1986-07-01,1.41120
1986-08-01,0.85787
1986-09-01,0.62816
1986-10-01,1.51836
1986-11-01,1.63724
1986-12-01,1.43131
1987-01-01,0.65363
1987-02-01,2.64427
1987-03-01,3.49121
1987-04-01,4.11104
1987-05-01,4.55698
1987-06-01,5.38660
1987-07-01,5.52610
1987-08-01,6.54516
1987-09-01,6.60244
1987-10-01,7.65401
1987-11-01,7.72841
1987-12-01,7.35660
1988-01-01,7.73494
1988-02-01,6.80528
1988-03-01,6.87983
1988-04-01,6.81123
1988-05-01,6.00183
1988-06-01,5.77989
1988-07-01,5.09677
1988-08-01,4.66587
1988-09-01,4.11191
1988-10-01,3.12436
1988-11-01,2.74874
1988-12-01,2.74361
1989-01-01,3.00643
1989-02-01,2.09446
1989-03-01,2.12226
1989-04-01,1.61616
1989-05-01,1.06029
1989-06-01,0.85167
1989-07-01,-0.11728
1989-08-01,0.38643
1989-09-01,0.31126
1989-10-01,-0.24916
1989-11-01,-0.08061
1989-12-01,0.03666
1990-01-01,-0.92556
1990-02-01,0.50279
1990-03-01,0.76547
1990-04-01,0.54418
1990-05-01,1.43160
1990-06-01,1.70879
1990-07-01,2.51861
1990-08-01,1.91414
1990-09-01,2.40002
1990-10-01,1.69665
1990-11-01,0.17916
1990-12-01,-1.07648
1991-01-01,-0.84764
1991-02-01,-2.49576
1991-03-01,-3.47898
1991-04-01,-3.14145
1991-05-01,-2.38007
1991-06-01,-1.80623
1991-07-01,-1.56183
1991-08-01,-1.80048
1991-09-01,-1.05146
1991-10-01,-0.47585
1991-11-01,0.58623
1991-12-01,0.84595
1992-01-01,0.71909
1992-02-01,2.15369
1992-03-01,3.54513
1992-04-01,4.12474
1992-05-01,3.42896
1992-06-01,2.51004
1992-07-01,3.31335
1992-08-01,2.71713
1992-09-01,2.04731
1992-10-01,2.99213
1992-11-01,3.54882
1992-12-01,4.05613
1993-01-01,5.09478
1993-02-01,4.80992
1993-03-01,3.80061
1993-04-01,3.38102
1993-05-01,2.68716
1993-06-01,2.84271
1993-07-01,2.23615
1993-08-01,2.63377
1993-09-01,2.88559
1993-10-01,2.90369
1993-11-01,2.89229
1993-12-01,3.36194
1994-01-01,3.30583
1994-02-01,2.87798
1994-03-01,4.06016
1994-04-01,4.28403
1994-05-01,5.18322
1994-06-01,5.67929
1994-07-01,5.51558
1994-08-01,6.25436
1994-09-01,6.15168
1994-10-01,6.23494
1994-11-01,6.44875
1994-12-01,6.98120
1995-01-01,6.77251
1995-02-01,6.56973
1995-03-01,5.65874
1995-04-01,4.99626
1995-05-01,4.81616
1995-06-01,4.50490
1995-07-01,3.92995
1995-08-01,4.62002
1995-09-01,4.64067
1995-10-01,3.63433
1995-11-01,3.25868
1995-12-01,2.57560
1996-01-01,1.71911
1996-02-01,3.45404
1996-03-01,3.20809
1996-04-01,4.21885
1996-05-01,4.62666
1996-06-01,5.15393
1996-07-01,5.43699
1996-08-01,4.72649
1996-09-01,5.02649
1996-10-01,5.09332
1996-11-01,5.75500
1996-12-01,6.03761
1997-01-01,6.88661
1997-02-01,6.53872
1997-03-01,7.35305
1997-04-01,6.40484
1997-05-01,6.24960
1997-06-01,5.87329
1997-07-01,6.81934
1997-08-01,7.31312
1997-09-01,7.52598
1997-10-01,8.51560
1997-11-01,8.51027
1997-12-01,8.14208
1998-01-01,8.54357
1998-02-01,7.38703
1998-03-01,6.74478
1998-04-01,7.11466
1998-05-01,7.16846
1998-06-01,5.97907
1998-07-01,4.81150
1998-08-01,5.85669
1998-09-01,4.71958
1998-10-01,4.66700
1998-11-01,3.68875
1998-12-01,3.75386
1999-01-01,3.70698
1999-02-01,4.12327
1999-03-01,4.21805
1999-04-01,4.11551
1999-05-01,4.16990
1999-06-01,4.65248
1999-07-01,5.68191
1999-08-01,3.99234
1999-09-01,3.75630
1999-10-01,4.29550
1999-11-01,4.85614
1999-12-01,5.27567
2000-01-01,4.80350
2000-02-01,4.55741
2000-03-01,4.77013
2000-04-01,5.23921
2000-05-01,4.69776
2000-06-01,4.97361
2000-07-01,4.15574
2000-08-01,3.41602
2000-09-01,4.25502
2000-10-01,2.57974
2000-11-01,2.12528
2000-12-01,1.05991
2001-01-01,0.39182
2001-02-01,-0.54618
2001-03-01,-1.13705
2001-04-01,-2.13017
2001-05-01,-2.89356
2001-06-01,-3.56661
2001-07-01,-3.97246
2001-08-01,-3.81036
2001-09-01,-4.54656
2001-10-01,-4.68096
2001-11-01,-5.17371
2001-12-01,-4.88665
2002-01-01,-3.66535
2002-02-01,-3.07058
2002-03-01,-2.05089
2002-04-01,-1.35885
2002-05-01,-0.33292
2002-06-01,1.22053
2002-07-01,1.55828
2002-08-01,1.69765
2002-09-01,2.22985
2002-10-01,2.36651
2002-11-01,3.40749
2002-12-01,2.87601
2003-01-01,3.00880
2003-02-01,3.18257
2003-03-01,2.11094
2003-04-01,0.96401
2003-05-01,0.56716
2003-06-01,-0.21402
2003-07-01,0.46608
2003-08-01,0.30964
2003-09-01,0.76013
2003-10-01,1.20806
2003-11-01,1.45828
