DATE,PCE_PCH
1/1/81,0.98828
2/1/81,0.75936
3/1/81,0.99246
4/1/81,0.07883
5/1/81,0.49359
6/1/81,1.08162
7/1/81,0.39287
8/1/81,1.26152
9/1/81,-0.05593
10/1/81,-0.0814
11/1/81,0.34116
12/1/81,0.92358
1/1/82,0.41734
2/1/82,1.20675
3/1/82,0.14348
4/1/82,0.10869
5/1/82,0.89819
6/1/82,0.17608
7/1/82,1.1767
8/1/82,0.38124
9/1/82,1.17783
10/1/82,1.00732
11/1/82,1.10547
12/1/82,0.57228
1/1/83,0.57365
2/1/83,0.13799
3/1/83,1.18512
4/1/83,1.07136
5/1/83,0.87585
6/1/83,1.34022
7/1/83,1.2478
8/1/83,0.69432
9/1/83,0.62489
10/1/83,0.9722
11/1/83,0.36902
12/1/83,1.1537
1/1/84,1.07787
2/1/84,-0.65719
3/1/84,1.16913
4/1/84,1.06514
5/1/84,0.69176
6/1/84,0.8527
7/1/84,-0.04007
8/1/84,0.70552
9/1/84,0.8598
10/1/84,-0.09867
11/1/84,1.58417
12/1/84,0.43556
1/1/85,1.40169
2/1/85,0.84008
3/1/85,0.29158
4/1/85,0.41533
5/1/85,1.38748
6/1/85,-0.25961
7/1/85,0.97791
8/1/85,1.34035
9/1/85,1.54791
10/1/85,-1.39192
11/1/85,0.55519
12/1/85,1.45069
1/1/86,0.56202
2/1/86,-0.24407
3/1/86,0.12056
4/1/86,0.41082
5/1/86,0.78654
6/1/86,0.14698
7/1/86,0.68141
8/1/86,0.60392
9/1/86,2.52536
10/1/86,-1.30897
11/1/86,-0.15343
12/1/86,2.34599
1/1/87,-2.05532
2/1/87,2.25515
3/1/87,0.38645
4/1/87,0.84625
5/1/87,0.31591
6/1/87,0.80042
7/1/87,0.71271
8/1/87,1.16651
9/1/87,-0.13735
10/1/87,0.25588
11/1/87,0.30946
12/1/87,0.95096
1/1/88,1.2476
2/1/88,0.2396
3/1/88,1.21376
4/1/88,0.07668
5/1/88,0.93779
6/1/88,0.75601
7/1/88,0.72925
8/1/88,0.75687
9/1/88,0.20784
10/1/88,1.14667
11/1/88,0.48335
12/1/88,0.86001
1/1/89,0.6937
2/1/89,0.12343
3/1/89,0.30963
4/1/89,1.26329
5/1/89,0.24838
6/1/89,0.41669
7/1/89,0.53552
8/1/89,0.97331
9/1/89,0.03591
10/1/89,0.32303
11/1/89,0.26695
12/1/89,1.12261
1/1/90,1.26215
2/1/90,-0.06701
3/1/90,0.71616
4/1/90,0.40214
5/1/90,0.15385
6/1/90,0.7601
7/1/90,0.4521
8/1/90,0.69603
9/1/90,0.56648
10/1/90,0.01292
11/1/90,0.03359
12/1/90,-0.27377
1/1/91,-0.52573
2/1/91,0.6691
