DATE,PCEPI_PCH
2/1/80,1.08516
3/1/80,1.22687
4/1/80,0.52404
5/1/80,0.77826
6/1/80,0.63006
7/1/80,0.77472
8/1/80,0.83646
9/1/80,0.92302
10/1/80,0.80293
11/1/80,0.81303
12/1/80,0.64985
1/1/81,0.95919
2/1/81,1.01219
3/1/81,0.69688
4/1/81,0.43649
5/1/81,0.45036
6/1/81,0.39902
7/1/81,0.60285
8/1/81,0.62365
9/1/81,0.60656
10/1/81,0.45382
11/1/81,0.5347
12/1/81,0.31043
1/1/82,0.59514
2/1/82,0.29903
3/1/82,0.25739
4/1/82,0.05135
5/1/82,0.59231
6/1/82,0.72487
7/1/82,0.59303
8/1/82,0.3105
9/1/82,0.27817
10/1/82,0.56105
11/1/82,0.29866
12/1/82,0.15095
1/1/83,0.4687
2/1/83,0.16852
3/1/83,0.12925
4/1/83,0.45693
5/1/83,0.28352
6/1/83,0.37221
7/1/83,0.56333
8/1/83,0.4292
9/1/83,0.34912
10/1/83,0.16995
11/1/83,0.14172
12/1/83,0.05581
1/1/84,0.43428
2/1/84,0.67241
3/1/84,0.32903
4/1/84,0.37901
5/1/84,0.12716
6/1/84,0.1778
7/1/84,0.35888
8/1/84,0.30706
9/1/84,0.13562
10/1/84,0.23605
11/1/84,0.13898
12/1/84,0.28143
1/1/85,0.49978
2/1/85,0.46669
3/1/85,0.39028
4/1/85,0.14413
5/1/85,0.2386
6/1/85,0.27204
7/1/85,0.24492
8/1/85,0.33078
9/1/85,0.16859
10/1/85,0.16644
11/1/85,0.29125
12/1/85,0.33694
1/1/86,0.46011
2/1/86,0
3/1/86,-0.21977
4/1/86,-0.20545
5/1/86,0.18361
6/1/86,0.37211
7/1/86,0.02398
8/1/86,0.12723
9/1/86,0.32597
10/1/86,0.17989
11/1/86,0.17957
12/1/86,0.13352
1/1/87,0.46761
2/1/87,0.3509
3/1/87,0.26452
4/1/87,0.37224
5/1/87,0.25384
6/1/87,0.3789
7/1/87,0.23077
8/1/87,0.39623
9/1/87,0.336
10/1/87,0.31716
11/1/87,0.19075
12/1/87,0.1851
1/1/88,0.38711
2/1/88,0.14724
3/1/88,0.3448
4/1/88,0.48664
5/1/88,0.28988
6/1/88,0.42577
7/1/88,0.48601
8/1/88,0.29671
9/1/88,0.48735
10/1/88,0.32673
11/1/88,0.23068
12/1/88,0.31307
1/1/89,0.51285
2/1/89,0.33232
3/1/89,0.37304
4/1/89,0.66664
5/1/89,0.36423
6/1/89,0.21939
7/1/89,0.23866
8/1/89,0.01149
9/1/89,0.22329
10/1/89,0.38989
11/1/89,0.21866
12/1/89,0.28983
1/1/90,0.7582
2/1/90,0.4399
3/1/90,0.37701
4/1/90,0.20937
5/1/90,0.22488
6/1/90,0.44239
7/1/90,0.24716
8/1/90,0.66536
9/1/90,0.61386
10/1/90,0.57267
11/1/90,0.12567
12/1/90,0.09452
1/1/91,0.37929
2/1/91,0.05089
3/1/91,0.02158
4/1/91,0.18031
5/1/91,0.41536
6/1/91,0.16852
7/1/91,0.15753
8/1/91,0.23211
9/1/91,0.34431
10/1/91,0.18826
11/1/91,0.21822
12/1/91,0.25101
1/1/92,0.13575
2/1/92,0.25305
3/1/92,0.2419
4/1/92,0.27129
5/1/92,0.13154
6/1/92,0.17914
7/1/92,0.32932
8/1/92,0.13367
9/1/92,0.16316
10/1/92,0.35393
11/1/92,0.19626
12/1/92,0.17378
1/1/93,0.24405
2/1/93,0.15106
3/1/93,0.20502
4/1/93,0.26598
5/1/93,0.309
6/1/93,0.03487
7/1/93,0.15833
8/1/93,0.17113
9/1/93,0.10424
10/1/93,0.31528
11/1/93,0.18886
12/1/93,0.02302
1/1/94,0.03309
2/1/94,0.23155
3/1/94,0.27549
4/1/94,0.11877
5/1/94,0.14435
6/1/94,0.24547
7/1/94,0.31463
8/1/94,0.22849
9/1/94,0.11186
10/1/94,0.16973
11/1/94,0.19062
12/1/94,0.06483
1/1/95,0.2014
2/1/95,0.1771
3/1/95,0.18521
4/1/95,0.26329
5/1/95,0.15365
6/1/95,0.09763
7/1/95,0.1254
8/1/95,0.21569
9/1/95,0.06804
10/1/95,0.25948
11/1/95,-0.00277
12/1/95,0.19238
1/1/96,0.22241
2/1/96,0.15713
3/1/96,0.30138
4/1/96,0.30048
5/1/96,0.17236
6/1/96,-0.00137
7/1/96,0.21167
8/1/96,0.09539
9/1/96,0.28181
10/1/96,0.30274
11/1/96,0.17866
12/1/96,0.11484
1/1/97,0.12955
2/1/97,0.21025
3/1/97,0.10491
4/1/97,0.09808
5/1/97,-0.04564
6/1/97,0.12891
7/1/97,0.05901
8/1/97,0.08042
9/1/97,0.24106
10/1/97,0.12959
11/1/97,0.00534
12/1/97,-0.02135
1/1/98,0.04938
2/1/98,-0.05202
3/1/98,0.01601
4/1/98,0.12409
5/1/98,0.13727
6/1/98,-0.08517
7/1/98,0.24775
8/1/98,0.13818
9/1/98,-0.05838
10/1/98,0.21906
11/1/98,0.0053
12/1/98,0.10067
1/1/99,0.18262
2/1/99,-0.02378
3/1/99,0.07795
4/1/99,0.46207
5/1/99,0.04994
6/1/99,0.02102
7/1/99,0.26527
8/1/99,0.1755
9/1/99,0.35039
10/1/99,0.15895
11/1/99,0.08715
12/1/99,0.24044
1/1/00,0.28524
2/1/00,0.32192
3/1/00,0.42656
4/1/00,-0.09881
5/1/00,0.07065
6/1/00,0.32732
7/1/00,0.24053
8/1/00,-0.01149
9/1/00,0.4289
10/1/00,0.14108
11/1/00,0.12819
12/1/00,0.13056
1/1/01,0.45195
2/1/01,0.13863
3/1/01,0.00503
4/1/01,0.17996
5/1/01,0.26757
6/1/01,0.18041
7/1/01,-0.03377
8/1/01,-0.00751
9/1/01,-0.3328
10/1/01,0.36278
11/1/01,-0.06129
12/1/01,-0.10513
1/1/02,0.07517
2/1/02,0.16525
3/1/02,0.27746
4/1/02,0.43249
5/1/02,0.07074
6/1/02,0.12153
7/1/02,0.20066
8/1/02,0.18666
9/1/02,0.17644
10/1/02,0.18598
11/1/02,0.09958
12/1/02,0.0872
1/1/03,0.27241
2/1/03,0.39527
3/1/03,0.22916
4/1/03,-0.19945
5/1/03,-0.13404
6/1/03,0.09396
7/1/03,0.28404
8/1/03,0.32335
9/1/03,0.29565
10/1/03,-0.00725
11/1/03,0.12445
12/1/03,0.2341
1/1/04,0.41895
